Timestamp,Fuel Type,CO2 Intensity Factor (gCO2/kWh)
2025-04-07 12:13:34,Biomass,120
2025-04-07 12:13:34,Coal,937
2025-04-07 12:13:34,Dutch Imports,474
2025-04-07 12:13:34,French Imports,53
2025-04-07 12:13:34,Gas (Combined Cycle),394
2025-04-07 12:13:34,Gas (Open Cycle),651
2025-04-07 12:13:34,Hydro,0
2025-04-07 12:13:34,Irish Imports,458
2025-04-07 12:13:34,Nuclear,0
2025-04-07 12:13:34,Oil,935
2025-04-07 12:13:34,Other,300
2025-04-07 12:13:34,Pumped Storage,0
2025-04-07 12:13:34,Solar,0
2025-04-07 12:13:34,Wind,0
2025-04-07 12:45:08,Biomass,120
2025-04-07 12:45:08,Coal,937
2025-04-07 12:45:08,Dutch Imports,474
2025-04-07 12:45:08,French Imports,53
2025-04-07 12:45:08,Gas (Combined Cycle),394
2025-04-07 12:45:08,Gas (Open Cycle),651
2025-04-07 12:45:08,Hydro,0
2025-04-07 12:45:08,Irish Imports,458
2025-04-07 12:45:08,Nuclear,0
2025-04-07 12:45:08,Oil,935
2025-04-07 12:45:08,Other,300
2025-04-07 12:45:08,Pumped Storage,0
2025-04-07 12:45:08,Solar,0
2025-04-07 12:45:08,Wind,0
2025-04-07 12:47:40,Biomass,120
2025-04-07 12:47:40,Coal,937
2025-04-07 12:47:40,Dutch Imports,474
2025-04-07 12:47:40,French Imports,53
2025-04-07 12:47:40,Gas (Combined Cycle),394
2025-04-07 12:47:40,Gas (Open Cycle),651
2025-04-07 12:47:40,Hydro,0
2025-04-07 12:47:40,Irish Imports,458
2025-04-07 12:47:40,Nuclear,0
2025-04-07 12:47:40,Oil,935
2025-04-07 12:47:40,Other,300
2025-04-07 12:47:40,Pumped Storage,0
2025-04-07 12:47:40,Solar,0
2025-04-07 12:47:40,Wind,0
2025-04-07 12:48:46,Biomass,120
2025-04-07 12:48:46,Coal,937
2025-04-07 12:48:46,Dutch Imports,474
2025-04-07 12:48:46,French Imports,53
2025-04-07 12:48:46,Gas (Combined Cycle),394
2025-04-07 12:48:46,Gas (Open Cycle),651
2025-04-07 12:48:46,Hydro,0
2025-04-07 12:48:46,Irish Imports,458
2025-04-07 12:48:46,Nuclear,0
2025-04-07 12:48:46,Oil,935
2025-04-07 12:48:46,Other,300
2025-04-07 12:48:46,Pumped Storage,0
2025-04-07 12:48:46,Solar,0
2025-04-07 12:48:46,Wind,0
2025-04-07 12:51:05,Biomass,120
2025-04-07 12:51:05,Coal,937
2025-04-07 12:51:05,Dutch Imports,474
2025-04-07 12:51:05,French Imports,53
2025-04-07 12:51:05,Gas (Combined Cycle),394
2025-04-07 12:51:05,Gas (Open Cycle),651
2025-04-07 12:51:05,Hydro,0
2025-04-07 12:51:05,Irish Imports,458
2025-04-07 12:51:05,Nuclear,0
2025-04-07 12:51:05,Oil,935
2025-04-07 12:51:05,Other,300
2025-04-07 12:51:05,Pumped Storage,0
2025-04-07 12:51:05,Solar,0
2025-04-07 12:51:05,Wind,0
2025-04-07 12:53:26,Biomass,120
2025-04-07 12:53:26,Coal,937
2025-04-07 12:53:26,Dutch Imports,474
2025-04-07 12:53:26,French Imports,53
2025-04-07 12:53:26,Gas (Combined Cycle),394
2025-04-07 12:53:26,Gas (Open Cycle),651
2025-04-07 12:53:26,Hydro,0
2025-04-07 12:53:26,Irish Imports,458
2025-04-07 12:53:26,Nuclear,0
2025-04-07 12:53:26,Oil,935
2025-04-07 12:53:26,Other,300
2025-04-07 12:53:26,Pumped Storage,0
2025-04-07 12:53:26,Solar,0
2025-04-07 12:53:26,Wind,0
2025-04-07 12:54:35,Biomass,120
2025-04-07 12:54:35,Coal,937
2025-04-07 12:54:35,Dutch Imports,474
2025-04-07 12:54:35,French Imports,53
2025-04-07 12:54:35,Gas (Combined Cycle),394
2025-04-07 12:54:35,Gas (Open Cycle),651
2025-04-07 12:54:35,Hydro,0
2025-04-07 12:54:35,Irish Imports,458
2025-04-07 12:54:35,Nuclear,0
2025-04-07 12:54:35,Oil,935
2025-04-07 12:54:35,Other,300
2025-04-07 12:54:35,Pumped Storage,0
2025-04-07 12:54:35,Solar,0
2025-04-07 12:54:35,Wind,0
2025-04-07 12:55:30,Biomass,120
2025-04-07 12:55:30,Coal,937
2025-04-07 12:55:30,Dutch Imports,474
2025-04-07 12:55:30,French Imports,53
2025-04-07 12:55:30,Gas (Combined Cycle),394
2025-04-07 12:55:30,Gas (Open Cycle),651
2025-04-07 12:55:30,Hydro,0
2025-04-07 12:55:30,Irish Imports,458
2025-04-07 12:55:30,Nuclear,0
2025-04-07 12:55:30,Oil,935
2025-04-07 12:55:30,Other,300
2025-04-07 12:55:30,Pumped Storage,0
2025-04-07 12:55:30,Solar,0
2025-04-07 12:55:30,Wind,0
2025-04-07 12:55:50,Biomass,120
2025-04-07 12:55:50,Coal,937
2025-04-07 12:55:50,Dutch Imports,474
2025-04-07 12:55:50,French Imports,53
2025-04-07 12:55:50,Gas (Combined Cycle),394
2025-04-07 12:55:50,Gas (Open Cycle),651
2025-04-07 12:55:50,Hydro,0
2025-04-07 12:55:50,Irish Imports,458
2025-04-07 12:55:50,Nuclear,0
2025-04-07 12:55:50,Oil,935
2025-04-07 12:55:50,Other,300
2025-04-07 12:55:50,Pumped Storage,0
2025-04-07 12:55:50,Solar,0
2025-04-07 12:55:50,Wind,0
2025-04-07 12:56:08,Biomass,120
2025-04-07 12:56:08,Coal,937
2025-04-07 12:56:08,Dutch Imports,474
2025-04-07 12:56:08,French Imports,53
2025-04-07 12:56:08,Gas (Combined Cycle),394
2025-04-07 12:56:08,Gas (Open Cycle),651
2025-04-07 12:56:08,Hydro,0
2025-04-07 12:56:08,Irish Imports,458
2025-04-07 12:56:08,Nuclear,0
2025-04-07 12:56:08,Oil,935
2025-04-07 12:56:08,Other,300
2025-04-07 12:56:08,Pumped Storage,0
2025-04-07 12:56:08,Solar,0
2025-04-07 12:56:08,Wind,0
