East Midlands,East England,West Midlands,North Scotland,South Scotland,South West England,datetime,North Wales and Merseyside,North East England,South East England,South Wales,North West England,Yorkshire,London,South England,region_id
325.0,58.0,40.0,30.0,11.0,72.0,2018-09-17T23:00:00,157.0,24.0,73.0,271.0,38.0,319.0,49.0,116.0,1
340.0,61.0,39.0,44.0,7.0,90.0,2018-09-17T23:30:00,183.0,30.0,70.0,157.0,41.0,298.0,69.0,152.0,2
337.0,60.0,39.0,44.0,8.0,89.0,2018-09-18T00:00:00,180.0,30.0,70.0,155.0,39.0,295.0,68.0,152.0,3
330.0,58.0,38.0,44.0,11.0,87.0,2018-09-18T00:30:00,175.0,31.0,70.0,151.0,37.0,288.0,69.0,150.0,4
326.0,57.0,37.0,45.0,13.0,85.0,2018-09-18T01:00:00,171.0,32.0,69.0,148.0,34.0,278.0,70.0,151.0,5
263.0,74.0,25.0,47.0,10.0,95.0,2018-09-18T01:30:00,114.0,11.0,58.0,132.0,26.0,195.0,64.0,122.0,6
263.0,73.0,25.0,49.0,10.0,95.0,2018-09-18T02:00:00,110.0,10.0,58.0,131.0,26.0,194.0,63.0,123.0,7
261.0,70.0,26.0,54.0,10.0,96.0,2018-09-18T02:30:00,103.0,10.0,57.0,131.0,26.0,193.0,62.0,123.0,8
256.0,66.0,27.0,62.0,11.0,95.0,2018-09-18T03:00:00,97.0,10.0,56.0,127.0,25.0,191.0,61.0,124.0,9
260.0,63.0,29.0,76.0,13.0,94.0,2018-09-18T03:30:00,93.0,10.0,55.0,122.0,25.0,192.0,60.0,125.0,10
283.0,61.0,34.0,100.0,17.0,92.0,2018-09-18T04:00:00,95.0,11.0,55.0,116.0,24.0,199.0,62.0,128.0,11
328.0,61.0,43.0,138.0,23.0,93.0,2018-09-18T04:30:00,106.0,11.0,56.0,120.0,25.0,214.0,74.0,139.0,12
372.0,65.0,58.0,189.0,27.0,99.0,2018-09-18T05:00:00,119.0,11.0,61.0,137.0,29.0,233.0,97.0,161.0,13
401.0,74.0,78.0,246.0,30.0,108.0,2018-09-18T05:30:00,130.0,11.0,69.0,168.0,38.0,249.0,127.0,190.0,14
411.0,83.0,99.0,294.0,31.0,117.0,2018-09-18T06:00:00,132.0,12.0,77.0,202.0,53.0,259.0,154.0,217.0,15
415.0,88.0,118.0,322.0,31.0,115.0,2018-09-18T06:30:00,127.0,13.0,81.0,240.0,69.0,264.0,174.0,234.0,16
416.0,85.0,133.0,330.0,29.0,102.0,2018-09-18T07:00:00,118.0,13.0,81.0,272.0,80.0,268.0,190.0,245.0,17
412.0,76.0,149.0,321.0,27.0,82.0,2018-09-18T07:30:00,104.0,13.0,78.0,300.0,83.0,274.0,202.0,252.0,18
399.0,66.0,165.0,296.0,24.0,63.0,2018-09-18T08:00:00,89.0,13.0,76.0,315.0,80.0,277.0,201.0,254.0,19
379.0,58.0,175.0,260.0,21.0,47.0,2018-09-18T08:30:00,78.0,12.0,77.0,322.0,74.0,279.0,187.0,244.0,20
360.0,52.0,173.0,221.0,18.0,35.0,2018-09-18T09:00:00,69.0,11.0,76.0,323.0,68.0,277.0,168.0,226.0,21
346.0,49.0,159.0,191.0,16.0,27.0,2018-09-18T09:30:00,63.0,11.0,73.0,322.0,63.0,276.0,152.0,205.0,22
335.0,47.0,141.0,172.0,13.0,22.0,2018-09-18T10:00:00,56.0,10.0,68.0,321.0,58.0,273.0,140.0,186.0,23
