incident_id,outage_start,planned,outage_end,region,postcodes
INCD-15905-t,2025-04-09T09:03:00,false,2025-04-09T17:00:00,South West,"EX39 3BB, EX39 3AZ, EX39 3HA"
INCD-53885-l,2025-04-09T06:27:00,false,2025-04-09T16:00:00,South West,"PL2 1NX, PL2 1NU, PL2 1NG, PL2 1NF"
INCD-53915-l,2025-04-09T11:24:00,false,2025-04-09T14:00:00,South West,"EX10 0JR, EX10 9XE"
INCD-53884-l,2025-04-09T05:08:00,false,2025-04-09T18:00:00,South West,EX15 3XB
INCD-15906-t,2025-04-09T09:41:00,false,,South West,EX14 1FL
INCD-21126-e,2025-04-08T11:06:00,false,2025-04-09T17:00:00,South Wales,"NP20 1JG, NP20 1LD, NP20 1JZ, NP20 1LB, NP20 1JF, NP20 1JE, NP20 1JD"
INCD-21181-e,2025-04-09T11:27:00,false,2025-04-09T16:00:00,South Wales,"NP44 3JZ, NP44 3LA, NP44 3PU, NP44 3JY, NP44 3PZ"
INCD-33917-f,2025-04-09T07:54:00,false,2025-04-09T15:30:00,South Wales,"CF15 7LP, CF15 7NN, CF15 7LH, CF15 7LN, CF15 7LG, CF15 7LL, CF15 7NS, CF15 7LJ"
INCD-42643-p,2025-04-09T11:27:00,false,2025-04-09T20:00:00,West Midlands,GL5 2EH
INCD-42630-p,2025-04-09T05:59:00,false,2025-04-09T17:00:00,West Midlands,GL4 5XT
INCD-42631-p,2025-04-09T06:54:00,false,2025-04-09T17:00:00,West Midlands,"B69 1RR, B69 1RW, B69 1QP"
INCD-37898-m,2025-04-09T11:40:00,false,2025-04-09T20:00:00,West Midlands,B92 8QG
INCD-4678-u,2025-04-09T10:15:00,false,2025-04-09T19:30:00,East Midlands,LE19 3YA
INCD-4677-u,2025-04-09T09:42:00,false,2025-04-09T21:00:00,East Midlands,B79 0DP
INCD-15770-t,2025-04-09T13:06:00,false,2025-04-09T19:00:00,East Midlands,NN14 4JB
INCD-82260-h,2025-04-09T04:02:00,false,2025-04-09T16:00:00,East Midlands,LE17 4QW
INCD-15757-t,2025-04-09T11:04:00,false,2025-04-09T20:00:00,East Midlands,NN10 8BB
INCD-82183-h,2025-04-08T10:45:00,false,2025-04-09T16:30:00,East Midlands,"DE5 3HG, DE5 3HF, DE5 3FT, DE5 3FP, DE5 3HA, DE5 3FJ, DE5 3HB, DE5 3BR"
INCD-82303-h,2025-04-09T13:15:00,false,2025-04-09T20:00:00,East Midlands,LE7 9WE
INCD-82305-h,2025-04-09T14:05:00,false,2025-04-09T15:00:00,East Midlands,NG9 4EZ
INCD-53895-l,2025-04-09T09:45:00,false,2025-04-09T17:00:00,South West,TR4 9BB
INCD-53910-l,2025-04-09T10:55:00,false,2025-04-09T16:30:00,South West,TR19 6EL
INCD-37921-m,2025-04-09T14:46:00,false,2025-04-09T22:30:00,West Midlands,"B63 2PU, B63 2PN, B63 2YA, B63 2UP"
