incident_id,outage_start,planned,outage_end,region,postcodes
QS4169,2021-05-20T05:35:00Z,LV,N/A,SSEN,"DT2 7TB, DT2 7TD, DT2 7TE, DT2 7TP, DT2 7TQ"
QS5620,2025-04-09T13:06:00Z,LV,N/A,SSEN,"AB23 8EH, AB23 8GA, AB23 8QH, AB23 8QS, AB23 8QW"
QS6057,2025-04-09T12:51:00Z,LV,2025-04-09T17:00:00Z,SSEN,"SO16 8GX, SO16 8GY, SO16 8GZ, SO16 8HA"
237254,2025-04-09T12:00:00Z,PSI,2025-04-09T16:00:00Z,SSEN,"OX49 5AB, OX49 5AD, OX49 5BD, OX49 5BT, OX49 5BU, OX49 5PR, OX49 5PS, OX49 5PU, OX49 5PY, OX49 5PZ, OX49 5QJ"
237754,2025-04-09T12:00:00Z,PSI,2025-04-09T16:00:00Z,SSEN,SL8 5JH
237049,2025-04-09T12:00:00Z,PSI,2025-04-09T16:00:00Z,SSEN,SP7 9NS
QS5987,2025-04-09T12:00:00Z,LV,N/A,SSEN,AB45 2JB
237512,2025-04-09T11:30:00Z,PSI,2025-04-09T15:00:00Z,SSEN,"SN14 6GS, SN14 6NJ, SN14 6NL, SN14 6NP, SN14 6NR, SN14 6NS, SN14 6NY, SN14 6PZ"
237378,2025-04-09T11:30:00Z,PSI,2025-04-09T15:30:00Z,SSEN,RG9 6EB
QS5612,2025-04-09T08:53:00Z,LV,2025-04-09T19:00:00Z,SSEN,"SO30 4EE, SO30 4EF, SO30 4EG, SO30 4EH, SO30 4EL, SO30 4EN, SO30 4EP, SO30 4ER, SO30 4EX, SO30 4EY, SO30 4EZ, SO30 4HA, SO30 4HB, SO30 4HD"
QS5640,2025-04-09T08:39:00Z,HV,N/A,SSEN,"IV51 9AA, IV51 9GS, IV51 9TB, IV51 9YS, IV55 8GT, IV55 8GU, IV55 8GY, IV55 8GZ, IV55 8HA, IV55 8WA, IV55 8WG, IV55 8WH, IV55 8WJ, IV55 8WL, IV55 8WN, IV55 8WP, IV55 8WQ, IV55 8WR, IV55 8WS, IV55 8WT, IV55 8WU, IV55 8WW, IV55 8WY, IV55 8ZE, IV55 8ZN, IV55 8ZR, IV55 8ZS, IV55 8ZT, IV55 8ZU, IV55 8ZX, IV55 8ZY, IV55 8ZZ"
237142,2025-04-09T08:00:00Z,PSI,2025-04-09T15:00:00Z,SSEN,"IV15 9UG, IV15 9XB"
237236,2025-04-09T08:00:00Z,PSI,2025-04-09T14:00:00Z,SSEN,"SN11 0AR, SN11 0AS, SN11 0SS"
237334,2025-04-09T08:00:00Z,PSI,2025-04-09T14:30:00Z,SSEN,"DT8 3PA, DT8 3PB, DT8 3PD, DT8 3PF"
237461,2025-04-09T08:00:00Z,PSI,2025-04-09T16:00:00Z,SSEN,"AB54 4LT, AB54 4SL, AB54 4SN, AB54 4SP, AB54 4SQ, AB54 7JQ, AB54 7LT, AB54 7NA, AB54 7NW, AB54 7YY"
237868,2025-04-09T08:00:00Z,PSI,2025-04-09T14:00:00Z,SSEN,GL8 8SD
235630,2025-04-09T08:00:00Z,PSI,2025-04-09T15:00:00Z,SSEN,"BA10 0PE, BA7 7LZ"
235814,2025-04-09T08:00:00Z,PSI,2025-04-09T16:00:00Z,SSEN,"PH14 9SN, PH14 9SP, PH14 9SR, PH14 9SW, PH14 9SY"
235904,2025-04-09T08:00:00Z,PSI,2025-04-09T14:30:00Z,SSEN,"GU32 1HJ, GU32 1HW"
235974,2025-04-09T08:00:00Z,PSI,2025-04-09T17:00:00Z,SSEN,"IV51 9AA, IV55 8WL, IV55 8ZT, IV55 8ZU, IV55 8ZY"
236422,2025-04-09T08:00:00Z,PSI,2025-04-09T14:00:00Z,SSEN,AB42 0SJ
236590,2025-04-09T08:00:00Z,PSI,2025-04-09T15:00:00Z,SSEN,"GU10 2BJ, GU10 2DJ, GU10 2DL, GU10 2DN"
237008,2025-04-09T08:00:00Z,PSI,2025-04-09T15:00:00Z,SSEN,"AB52 6LN, AB52 6LU, AB52 6LW, AB52 6RP"
236042,2025-04-09T07:30:00Z,PSI,2025-04-09T15:30:00Z,SSEN,"SO51 0GF, SO51 6FD, SO51 6GG, SO51 6GR"
236758,2025-04-09T07:30:00Z,PSI,2025-04-09T15:30:00Z,SSEN,"SP5 5RN, SP5 5RP, SP5 5RR, SP5 5RS, SP5 5RT, SP5 5RW"
236400,2025-04-09T07:30:00Z,PSI,2025-04-09T15:30:00Z,SSEN,SP5 2EB
237377,2025-04-09T07:30:00Z,PSI,2025-04-09T15:30:00Z,SSEN,"OX10 6PH, OX10 6PQ"
237150,2025-04-09T06:30:00Z,PSI,2025-04-09T15:00:00Z,SSEN,"KY13 8GL, KY13 8UF"
QS5379,2025-04-09T05:42:00Z,LV,2025-04-09T15:00:00Z,SSEN,"SP7 8EY, SP7 8HA, SP7 8HD, SP7 8HE"
QS5302,2025-04-09T01:49:00Z,LV,2025-04-09T20:00:00Z,SSEN,"UB3 2RB, UB3 2RE, UB3 2RF, UB3 2RG, UB3 2SF, UB3 2SG"
QS5176,2025-04-08T18:44:00Z,LV,2025-04-09T15:00:00Z,SSEN,"RG30 4RP, RG30 4RX, RG30 4SD"
QS5149,2025-04-08T17:28:00Z,LV,N/A,SSEN,"PA23 7SP, PA23 7TR"
237833,2025-04-07T07:30:00Z,PSI,2025-04-11T15:30:00Z,SSEN,BH21 6QZ
QS6147,2025-04-09T14:01:00Z,LV,N/A,SSEN,"PO12 2ET, PO12 2JP, PO12 2LA, PO12 2LB, PO12 2LD, PO12 2LF, PO12 2LS, PO12 2LX"
QS4637,2025-04-07T13:26:00Z,LV,N/A,SSEN,"SO21 3BQ, SO21 3BW"
