incident_id,outage_start,planned,outage_end,region,postcodes
INCD-53828-l,2025-04-08T11:21:00,false,2025-04-08T17:30:00,South West,"BS39 5EP, BS39 5PF, BS39 5PD"
INCD-21126-e,2025-04-08T11:06:00,false,2025-04-08T18:00:00,South Wales,"NP20 1JG, NP20 1LD, NP20 1JZ, NP20 1LB, NP20 1JF, NP20 1JE, NP20 1JD"
INCD-37847-m,2025-04-08T14:46:00,false,,West Midlands,"CW12 1HE, CW12 1HJ, CW12 1JN, CW12 1HF, CW12 1HG, CW12 1JU, CW12 1HB, CW12 1JP, CW12 1JY"
INCD-42584-p,2025-04-08T12:33:00,false,2025-04-08T19:30:00,West Midlands,"CV37 7SA, CV37 7BD, CV37 7AA, CV37 7AE, CV37 7BA, WR11 7XB, CV37 7AQ, CV37 7FA, CV37 7AB"
INCD-42551-p,2025-04-08T05:02:00,false,2025-04-08T20:30:00,West Midlands,B63 2PN
INCD-37851-m,2025-04-08T15:42:00,false,2025-04-08T21:00:00,West Midlands,"DY4 9AT, DY4 9AB, DY4 9SG"
INCD-82218-h,2025-04-08T14:32:00,false,2025-04-08T17:00:00,East Midlands,"NG3 5EL, NG3 5ES, NG3 5EN"
INCD-82183-h,2025-04-08T10:45:00,false,2025-04-08T22:00:00,East Midlands,"DE5 3HG, DE5 3FT, DE5 3HF, DE5 3FP, DE5 3HA, DE5 3BR, DE5 3FJ, DE5 3HB, DE5 3FW"
INCD-82231-h,2025-04-08T15:45:00,false,2025-04-08T18:00:00,East Midlands,"NG4 3QL, NG4 3QN"
INCD-82234-h,2025-04-08T16:22:00,false,,East Midlands,DE4 2EG
INCD-82084-h,2025-04-07T13:34:00,false,2025-04-08T17:00:00,East Midlands,LE18 3SF
INCD-82224-h,2025-04-08T15:07:00,false,2025-04-08T18:30:00,East Midlands,"CV7 7GE, CV7 7GD, CV7 7FX, CV7 7FY"
INCD-82166-h,2025-04-08T09:15:00,false,2025-04-08T20:00:00,East Midlands,NG17 8JW
INCD-82216-h,2025-04-08T14:18:00,false,,East Midlands,CV9 3DT
