incident_id,outage_start,planned,outage_end,region,postcodes
INCD-2303594-i,08/04/2025 16:15,Live,08/04/2025 18:30,Scottish Power,"WA4 4AJ, WA4 4AS, WA4 4FX"
INCD-865887-f,08/04/2025 15:49,Live,08/04/2025 20:04,Scottish Power,ML4 2ES
INCD-2303540-i,08/04/2025 15:31,Live,08/04/2025 19:46,Scottish Power,"CH7 4LD, CH7 4LQ"
INCD-2303510-i,08/04/2025 14:50,Restored,,Scottish Power,"SY12 9AE, SY12 9AF"
INCD-1154173-s,08/04/2025 14:46,Live,08/04/2025 19:00,Scottish Power,"DG3 4AF, DG3 4AG, DG3 4AH, DG3 4AQ, DG3 5AE, DG3 5AP, DG3 5AR, DG3 5AT, DG3 5AU, DG3 5AX, DG3 5AY, DG3 5AZ, DG3 5BA, DG3 5BB, DG3 5BD, DG3 5BE, DG3 5BG, DG3 5BH, DG3 5BN, DG3 5BQ, DG3 5DX, DG3 5DY, DG3 5DZ, DG3 5EA, DG3 5EB, DG3 5ED, DG3 5EE, DG3 5EF, DG3 5EG, DG3 5EH, DG3 5EJ, DG3 5EL, DG3 5EN, DG3 5EQ, DG3 5EW, DG3 5WW"
INCD-1154167-s,08/04/2025 14:41,Live,08/04/2025 19:00,Scottish Power,"DG9, DG9 4BN, DG9 9AD, DG9 9AE, DG9 9AG, DG9 9AQ, DG9 9BP, DG9 9BT, DG9 9BW, DG9 9EA, DG9 9EB, DG9 9EG, DG9 9QW"
INCD-2303504-i,08/04/2025 14:40,Restored,,Scottish Power,"L12 0AA, L12 0AB, L12 0AD, L12 0AE, L12 0AF, L12 0BA, L12 0HA, L12 0HD, L12 0HX, L12 0HZ, L12 0LT, L12 4YD, L12 4YS, L12 4YT, L12 6QP, L12 6RS"
INCD-606712-r,08/04/2025 14:02,Restored,,Scottish Power,CW1 1VV
INCD-1154149-s,08/04/2025 13:36,Restored,,Scottish Power,CW1 6UZ
INCD-1154131-s,08/04/2025 13:10,Restored,,Scottish Power,"EH4 4NE, EH4 4NT, EH4 4PE, EH4 4SA"
