incident_id,outage_start,planned,outage_end,region,postcodes
QS4169,2021-05-20T05:35:00Z,LV,N/A,SSEN,"DT2 7TB, DT2 7TD, DT2 7TE, DT2 7TP, DT2 7TQ"
QS4985,2025-04-08T14:00:00Z,HV,N/A,SSEN,"UB6 7BT, UB6 7BX, UB6 7EB, UB6 7ED, UB6 7EE, UB6 7EF, UB6 7EL, UB6 7EN, UB6 7ER, UB6 7ES, UB6 7ET, UB6 7EY, UB6 7EZ, UB6 7HA"
QS4851,2025-04-08T13:57:00Z,HV,2025-04-08T17:30:00Z,SSEN,"UB6 7AA, UB6 7LA, UB6 7LE, UB6 7LG, UB6 7LH"
QS4768,2025-04-08T13:47:00Z,LV,N/A,SSEN,"BA22 7PB, BA22 7PD, BA22 7PJ, BA22 7PL"
QS4800,2025-04-08T13:34:00Z,HV,2025-04-08T16:00:00Z,SSEN,"AB32 7BJ, AB32 7BQ, AB32 7BR, AB32 7DA, AB32 7EL, AB32 7EN, AB32 7EP"
QS4826,2025-04-08T13:30:00Z,LV,2025-04-08T22:59:00Z,SSEN,"BH12 4BG, BH12 4BQ, BH8 8AS"
237043,2025-04-08T13:00:00Z,PSI,2025-04-08T17:00:00Z,SSEN,SP8 4LJ
236576,2025-04-08T11:00:00Z,PSI,2025-04-08T16:00:00Z,SSEN,"SO41 0JL, SO41 8AA, SO41 8AB, SO41 8AD, SO41 8AE, SO41 8AF, SO41 8AG, SO41 8AH, SO41 8AJ, SO41 8AL, SO41 8AN, SO41 8DF, SO41 8EZ, SO41 8FF, SO41 8FJ, SO41 8FL, SO41 8FT, SO41 8QZ"
QS4927,2025-04-08T09:12:00Z,HV,N/A,SSEN,PA60 7XH
QS4354,2025-04-08T09:01:00Z,LV,2025-04-08T15:30:00Z,SSEN,"SO41 6BW, SO41 6BX, SO41 8LL, SO41 8LN"
235722,2025-04-08T08:00:00Z,PSI,2025-04-08T16:00:00Z,SSEN,"PH14 9RE, PH14 9RF, PH14 9RG, PH14 9ST, PH14 9TB, PH2 6JD"
235973,2025-04-08T08:00:00Z,PSI,2025-04-08T16:00:00Z,SSEN,"IV51 9TB, IV55 8ZX, IV55 8ZY, IV55 8ZZ"
237459,2025-04-08T08:00:00Z,PSI,2025-04-08T16:00:00Z,SSEN,AB54 4TB
QS4228,2025-04-08T07:43:00Z,LV,2025-04-08T19:00:00Z,SSEN,"PA44 7NZ, PA44 7PA"
236033,2025-04-08T07:30:00Z,PSI,2025-04-08T15:30:00Z,SSEN,"SO41 6BJ, SO41 6BL, SO41 6BN, SO41 6BP, SO41 6BQ, SO41 6BR, SO41 6BW, SO41 6BX, SO41 6DL, SO41 6DN, SO41 6DP, SO41 8LL, SO41 8LN"
237375,2025-04-08T07:30:00Z,PSI,2025-04-08T15:30:00Z,SSEN,RG9 6DR
237833,2025-04-07T07:30:00Z,PSI,2025-04-11T15:30:00Z,SSEN,BH21 6QZ
QS4902,2025-04-08T14:20:00Z,HV,N/A,SSEN,"KW1 4QS, KW1 4TA, KW1 4TT, KW1 5LE, KW1 5QE, KW1 5SA, KW1 5SB, KW1 5SD, KW1 5SF, KW1 5SG, KW1 5SP, KW1 5SR, KW1 5SS, KW1 5ST, KW1 5SU, KW1 5SX, KW1 5SY, KW1 5SZ, KW1 5TA, KW1 5TB, KW1 5TD, KW1 5TR, KW1 5UG, KW1 5UH, KW1 5UL, KW1 5UP, KW1 5UQ, KW1 5XG, KW1 5XH, KW1 5XJ, KW1 5XL, KW1 5XQ, KW1 5XY, KW1 5YJ, KW1 5YL, KW1 5YN, KW1 5YP, KW1 5YR, KW1 5YW"
